,source,target,value
350,Pycelle ,Barristan ,3
351,Pycelle ,Renly ,3
352,Pycelle ,Varys ,7
353,Pycelle ,Janos ,3
354,Pycelle ,Harys ,4
355,Pycelle ,Tyrell ,3
356,Pycelle ,Slynt ,4
357,Pycelle ,Swyft ,3
358,Pycelle ,Littlefinger ,8
359,Pycelle ,Ned ,7
360,Brynden ,Jaime ,4
361,Brynden ,Edmure ,3
362,Brynden ,Tully ,18
363,Brynden ,Blackfish ,12
364,Benjen ,Stark ,35
365,Lysa ,Cersei ,3
366,Lysa ,Tyrion ,5
367,Lysa ,Petyr ,6
368,Lysa ,Nestor ,4
369,Lysa ,Arryn ,35
370,Lysa ,Tully ,5
371,Lysa ,Ned ,3
372,Cersei ,Tommen ,9
373,Cersei ,Rhaegar ,4
374,Cersei ,Elia ,3
375,Cersei ,Jaime ,24
376,Cersei ,Tyrion ,16
377,Cersei ,Balon ,4
378,Cersei ,Tywin ,11
379,Cersei ,Joffrey ,9
380,Cersei ,Boros ,5
381,Cersei ,Stannis ,8
382,Cersei ,Varys ,6
383,Cersei ,Mace ,4
384,Cersei ,Margaery ,10
385,Cersei ,Lancel ,6
386,Cersei ,Kevan ,4
387,Cersei ,Baratheon ,4
388,Cersei ,Lannister ,50
389,Cersei ,Tyrell ,9
390,Cersei ,Swann ,3
391,Cersei ,Osmund ,4
392,Cersei ,Osney ,4
393,Cersei ,Qyburn ,3
394,Cersei ,Aurane ,3
395,Cersei ,Kettleblack ,4
396,Cersei ,Waters ,4
397,Cersei ,Merryweather ,4
398,Cersei ,Dorcas ,3
399,Cersei ,Ned ,4
400,Cersei ,Sweet ,6
401,Tommen ,Joffrey ,6
402,Tommen ,Myrcella ,9
403,Tommen ,Boros ,3
404,Tommen ,Margaery ,8
405,Tommen ,Tyrell ,6
406,Tommen ,Bran ,4
407,Daenerys ,Viserys ,4
408,Daenerys ,Drogo ,5
409,Daenerys ,Aegon ,6
410,Daenerys ,Barristan ,10
411,Daenerys ,Irri ,3
412,Daenerys ,Targaryen ,49
413,Daenerys ,Lannister ,3
414,Daenerys ,Stormborn ,4
415,Daenerys ,Connington ,3
416,Daenerys ,Missandei ,5
417,Daenerys ,Hizdahr ,3
418,Daenerys ,Quentyn ,6
419,Dany ,Illyrio ,3
420,Dany ,Viserys ,7
421,Dany ,Drogo ,21
422,Dany ,Rhaegar ,4
423,Dany ,Jorah ,24
424,Dany ,Barristan ,5
425,Dany ,Irri ,21
426,Dany ,Jhiqui ,20
427,Dany ,Doreah ,6
